Plot,Repeat,Area
1279,1,5.04
1279,2,6.64
2223,2,7.06
2223,1,8.01
1071,1,9.55
1071,2,11.93
1071,3,11.12
2231,2,12.96
2231,1,13.37
2231,3,10.72
1203,3,10.46
1203,1,13.83
1203,2,11.24
2033,3,13.03
2033,1,9.28
2033,2,9.98
1255,2,9.9
1255,1,12.48
1255,3,9.2
2267,2,7.47
1308,2,5.12
1308,3,12.16
2184,3,8.95
2184,1,9.99
2184,2,12.1
1242,1,7.08
1242,2,6.85
2277,2,4.22
2277,1,3.59
1125,1,9.32
1125,2,9.05
2264,1,3.87
2264,2,6.74
1206,1,7.33
1206,3,8.55
1206,2,8.02
2092,3,8.1
2092,1,10.69
2092,2,9.62
1072,2,6.3
1072,1,4.08
2055,1,8.48
2055,2,7.14
1212,1,9.29
1212,2,8.63
2263,2,5.33
2263,3,5.87
1216,2,10.18
1216,1,8.18
2187,1,9.73
2187,2,5.55
2187,3,11.39
2142,2,11.66
2142,1,8.52
1140,2,14.64
2254,1,11.45
2254,2,7.65
2254,3,7.21
1079,2,2.65
1079,1,10.99
2259,1,5.71
2259,2,5.88
1105,2,9.32
2157,2,11.16
2157,3,11.21
2157,1,3.34
1136,1,6.32
1136,2,4.98
2060,1,9.39
2060,2,12.04
1183,2,6.35
1183,1,9.67
2098,3,16.83
2098,1,13.86
2098,2,18.26
1102,1,12.4
1102,2,6.94
2049,2,8.41
2049,1,3.81
2049,3,2.36
2196,3,12.33
2196,1,6.55
2196,2,5.51
1199,2,6.52
1199,1,9.66
1199,3,12.72
2271,3,5.41
2271,1,6.67
2271,2,6.66
1023,1,6.23
1023,2,5.45
1023,3,5.74
2314,1,6.19
2314,3,5.71
2314,2,4.25
1175,1,9.64
2287,1,3.98
2287,2,4.19
1073,2,5.73
1073,1,9.73
1073,3,7.23
2246,3,4.83
2246,1,4.03
2246,2,5.48
1244,3,8.27
1244,1,5.8
1244,2,4.78
2241,2,3.97
2241,1,3.67
2241,3,4.44
1010,3,6.27
1010,1,6.49
1010,2,6.08
2305,1,3.2
1069,1,8.29
1069,2,6.52
2281,2,2.56
2281,1,4.56
1220,1,9.36
1220,2,6.96
1220,3,5.39
2227,1,5.19
2227,2,5.94
2227,3,3.59
1281,2,3.92
1281,1,6
1281,3,3.76
2183,2,5.1
2183,1,4.58
2183,3,5.35
1031,3,5.88
1031,2,8.19
1031,1,5.11
2162,1,9.7
2162,2,7.72
2162,3,10.25
1099,2,6.86
1099,1,5.29
1099,3,5.74
2174,1,9.25
2174,2,12.35
1245,3,10.06
1245,1,5.69
1245,2,7.25
2037,2,8.08
2037,1,7.97
1030,1,6.52
1030,2,5.34
2294,1,1.51
2294,2,2.13
1163,1,10.12
1163,2,6.94
1163,3,3.86
2089,2,7.13
2089,3,6.42
2089,1,12.84
1300,2,11.51
1300,3,8.06
2012,1,8.01
2012,2,6.73
2012,3,13.15
1098,1,9.45
1098,3,12.43
2110,2,8.15
2110,1,8.43
1294,1,14.69
1294,3,10.34
2108,3,10.03
2108,1,17.12
1029,1,8.33
1029,2,6.18
1029,3,5.29
2272,1,2.63
2272,2,3.48
1222,2,8.57
1222,3,10.56
1222,1,8.96
2127,1,4.4
2127,2,10.31
2127,3,8.45
1257,1,1.68
1257,3,2.62
2063,1,8.82
2063,2,9.88
1264,1,6.05
1264,2,5.37
2273,2,4.84
2273,1,2.67
1048,3,3.1
1048,1,3.69
2195,1,11.01
2195,2,3.08
2195,3,9.12
1202,1,9.12
1202,2,8.4
2072,3,8.72
1293,2,4.95
1293,1,3.7
1293,3,7.17
2308,1,1.91
2308,2,3.32
1110,2,7.03
2120,1,9.11
2120,2,13.17
2120,3,8.05
1077,2,7.41
1077,1,11.85
2103,1,10.24
2103,2,8.41
2103,3,7.88
1301,1,6.17
1301,2,6.3
1301,3,4.47
2020,2,7.01
2020,1,9.23
2020,3,8.84
1024,3,2.73
1024,1,5.68
1024,2,4.91
2236,1,4.8
2236,2,3.16
2236,3,2.42
1054,1,3.07
2009,1,6.2
1268,3,3.2
1268,2,4.04
1268,1,3.96
2167,3,3.5
2167,2,3.4
2167,1,3.61
1120,1,5.11
2166,2,7.19
2166,1,7.8
2166,3,3.86
1263,3,4.1
1263,2,3.88
2188,3,6.11
2188,1,9.53
2188,2,10.2
1306,2,11.11
1306,1,9.79
1306,3,10.43
2222,3,7.71
2222,1,9.26
2222,2,8.27
1080,1,7.09
1080,2,6.91
1080,3,10.18
2067,1,9.11
2067,2,4.22
2067,3,6.8
1227,2,5.02
1227,3,9.88
1227,1,10.95
2224,1,6.71
2224,2,8.04
2224,3,8.29
1273,1,6.13
1273,2,9.93
1273,3,13.32
2121,2,6.87
2121,1,8.35
2121,3,8.27
1266,3,11.35
1266,2,7.56
1266,1,9.14
2046,2,8.3
2046,1,7.41
1270,3,18.41
1270,1,13.7
1270,2,17.93
2207,1,15.44
2207,2,14.73
1018,2,15.75
2096,2,11.75
2096,1,21
1205,1,11.53
1205,2,12.92
1205,3,14.42
1166,2,14.02
1166,1,14.27
2056,1,9.7
2056,2,9.71
1289,1,11.05
1289,2,10.65
1289,3,11.93
2295,2,5
2295,1,5.88
1225,3,8.14
1225,1,7.02
1225,2,8.69
2097,2,7.24
2097,1,6.8
1272,2,8.23
1272,3,3.66
2090,2,5.02
2090,1,5.22
1188,2,15.56
2040,1,7.62
2040,2,9.23
2040,3,6.72
1064,1,10.31
1064,2,13.2
2083,2,5.51
2083,1,12.79
1305,1,13.03
1305,2,11.93
1305,3,13.66
2233,2,14.67
2233,3,9.09
1280,2,6.22
1280,1,9.5
2036,3,8.36
2036,1,9.18
2036,2,6.37
1068,1,18.94
1068,3,14.75
2210,2,10.02
2210,1,8.45
2210,3,9.07
1066,3,12.9
1066,1,11.29
1066,2,15.79
2151,3,12.15
2151,2,13.51
2151,1,17.58
1250,3,9.07
1250,2,10.61
1250,1,10.47
2169,1,9.4
2169,2,6.22
1067,2,6.64
1067,1,10.26
1067,3,10.45
2019,3,10.97
2019,1,14.66
2019,2,11.43
1317,1,9.31
1317,3,4.73
2062,2,5.58
2062,1,8.5
1241,1,6.45
1241,2,12.99
1241,3,5.29
2293,1,9.82
2293,2,10.56
2152,3,3.85
2152,1,9.72
2152,2,9.48
1304,1,8.02
1304,2,8.16
2280,2,6.75
2280,1,8.32
2280,3,5.32
1146,3,18.26
1146,1,24.6
1146,2,21.47
2112,1,13.96
2112,2,12.25
1261,2,7.07
1261,1,9.63
2125,1,9.97
2125,2,7.54
2125,3,7.14
1187,1,11.37
1187,2,6.07
1187,3,11.29
2010,2,15.78
2010,1,19.75
2010,3,12.44
1312,3,9.54
1312,1,11.59
1312,2,17.63
2252,1,9.73
2252,2,17.06
2252,3,11.73
1191,2,8.26
1191,1,8.72
1191,3,6.66
2213,1,6.55
2213,2,6.03
1133,3,4.64
1133,1,8.87
1133,2,6.67
2192,2,3.76
2192,3,7.41
1192,3,5.91
1192,1,4.16
1192,2,6.75
2226,1,7.96
2226,2,6.53
2226,3,5.02
1258,1,5.27
1258,3,5.78
1258,2,5.14
2214,3,6.98
2214,2,2.26
2214,1,9.03
1167,1,10.33
1167,2,9.75
1167,3,8.6
2023,2,11.66
2023,1,9.07
2023,3,10.76
1147,1,10.33
1147,2,8.07
2274,1,9.33
2274,2,4.15
1236,2,11.16
1236,1,7.17
1236,3,7.22
2257,3,4.36
2257,1,6.67
2257,2,6.32
1249,1,4.35
1249,2,4.69
2093,1,7.68
2093,2,10.26
1285,2,11.28
1285,1,13.29
2260,1,12.55
2260,2,5.86
1032,1,14.29
1032,3,9.95
2111,2,10.37
2111,1,12.27
2111,3,9.49
1158,2,10
1158,1,15.88
2026,2,8.93
2026,1,9.43
1051,1,16.66
1051,2,10.09
1051,3,8.45
2298,2,6.39
2298,1,5.13
2298,3,5.07
1186,1,8.67
1186,2,9.04
2200,1,5.41
2200,2,6.12
1298,1,5.78
2058,1,6.26
2058,2,8.67
1271,1,6.78
1271,2,7.5
1271,3,11.19
2133,1,14.75
2133,2,9.76
2133,3,8.28
1211,2,7.18
1211,3,10.02
1211,1,10.44
2051,1,6.19
2051,2,7.43
2051,3,7.22
1145,1,6.84
1145,2,10.2
2086,2,9.93
2086,1,6.97
2086,3,6.31
1278,3,5.94
1278,2,3.94
1278,1,4.53
2255,2,7.3
2255,1,6.07
2255,3,7.8
1208,2,4.59
2025,1,6.73
2025,2,5.18
1118,1,7.24
1118,3,5.72
2276,2,2.9
2276,3,5.54
2276,1,4.13
1104,1,22.74
1104,2,13.45
2218,1,6.97
2218,2,6.5
1302,2,13.29
1302,1,15.63
2045,1,6.88
2045,2,4.96
1154,1,10.17
1154,2,11.8
2212,2,6.46
1033,3,3.62
1033,1,5.76
1033,2,6.21
2291,1,4.39
2291,2,5.99
1299,2,3.78
1299,3,9.83
1299,1,5.16
2091,1,7.15
2091,3,4.76
1094,2,7.77
2079,2,15.86
2079,1,1.9
1307,3,6.77
1307,1,6.46
1307,2,8.33
2146,1,7.42
2146,2,6.06
2146,3,8.05
1259,2,9.24
1259,1,8.12
1259,3,8.26
2006,1,9
2006,2,7.45
1233,1,5.39
1233,2,7.46
2278,1,3.6
1027,3,11.74
1027,1,7.55
2138,1,8.46
2138,2,6.5
1004,3,16.44
2131,1,13.85
2131,2,6.641
1151,2,13.86
2229,1,14.67
2229,2,10.73
1239,1,10.2
1239,2,10.45
2066,1,5.43
2066,2,9.22
1313,2,8.61
1313,1,8.64
2140,1,13.52
2140,2,13.2
1036,1,10.47
1036,2,23.21
1036,3,13.94
2068,2,11.75
2068,1,9.84
2068,3,9.69
1170,1,10.8
1170,2,12.6
2124,1,14.08
2124,2,14.9
1106,3,11.25
2024,1,4.63
2024,2,6.96
1086,3,5.93
1086,2,7.81
2048,2,10.82
2048,3,8.75
2048,1,9.93
1061,1,15.74
2018,2,9.04
2018,3,9.98
1251,3,10.18
1251,1,10.08
1251,2,7.38
2104,3,7.18
2104,1,7.28
2104,2,11.42
1042,2,7.89
1042,1,7
2275,3,5.74
2275,1,5.38
2275,2,5.93
1201,1,10.88
1201,2,4.28
2064,1,16.2
2064,2,9.08
1184,1,8.92
2244,2,7.13
1178,1,12.26
1178,2,16.36
2160,2,10.48
2160,1,7
2160,3,8.03
1155,2,10.09
1155,1,10.41
2080,2,9.14
2080,1,8.4
1177,1,16.7
2118,1,14.1
2118,2,14.51
2118,3,10.86
1297,1,5.51
1297,2,6.49
1297,3,6.94
2141,2,8.83
2141,3,10.54
2141,1,12.27
1097,1,15.93
1097,2,18.8
1097,3,17.25
2087,1,12.16
2087,2,13.21
2087,3,11.92
1253,2,15.21
1253,1,14.5
1253,3,13.96
2031,3,12.65
2031,1,15.84
2031,2,17.75
1113,2,14.57
1113,3,25.31
2032,2,14.24
2032,1,14.98
2032,3,16.38
1035,3,12.83
1035,1,10.54
1035,2,14.01
2095,3,13.72
2095,2,11.84
2095,1,16.89
1143,3,9.04
2017,1,4.57
2017,2,7.39
2017,3,11.65
1109,2,13.86
1109,1,13.65
2268,1,7.22
2268,2,8.69
1075,1,4.53
1075,2,11.53
2205,2,7.61
2205,1,2.31
1209,3,5.19
1209,1,9.56
1209,2,3.53
2209,1,8.14
2209,2,9.98
2209,3,8.32
1189,1,5.5
1189,2,8.64
1189,3,11.2
2050,2,5.79
2050,3,15.5
1085,1,5.79
1085,2,5.96
2088,1,5.8
2088,2,5.58
1057,2,10.99
1057,1,14
2219,2,12.1
2219,1,11.1
1141,2,7.27
1141,1,8.33
2158,1,4.99
2158,2,8.65
1314,1,4.76
1314,2,3.05
1314,3,2.71
2170,1,7.39
2170,2,4.87
2170,3,4.54
1215,2,7.44
1215,1,6.18
2047,1,12.33
2047,2,8.56
2047,3,7.34
1210,1,8.35
1210,2,2.72
2014,2,4.93
2014,1,4.98
1168,3,3.69
1168,1,4.62
1168,2,11.01
2002,1,5.1
2002,2,6.52
2002,3,4.85
1081,2,9.69
1081,1,4.09
2030,1,4.85
2030,2,8.04
1063,1,10.7
1063,2,13.57
2075,2,6.65
2075,1,6.18
1019,1,17.26
1019,2,12.73
2154,1,6.9
2154,2,13.46
1213,2,9.26
2143,1,10.16
2143,2,7.63
1107,1,13.56
1107,2,8.98
1107,3,10.41
2191,2,12.34
2191,1,8.93
2191,3,8.18
1169,1,11.45
1169,2,8.75
2159,3,21.04
2159,1,19.4
2159,2,11.84
1025,2,9.05
1025,1,13.22
2042,1,6.41
2042,2,3.63
1269,1,12.17
1269,2,7.53
2304,1,10.87
2304,2,4.76
1218,1,14.37
1218,2,12.49
2279,2,7.85
2279,1,5.79
1290,1,22.59
1290,2,21.04
1290,3,21.8
2115,1,12.99
2115,2,16.6
1093,2,4.76
1093,1,7.53
2206,1,5.27
2206,2,6.16
1056,1,11.33
1056,2,9.59
2132,2,7.68
1198,1,12.41
1198,2,9.92
2185,1,7.1
2185,2,7.49
2250,1,3.97
2250,2,3.14
1291,1,8.4
1291,2,6.64
1291,3,9.84
2243,1,5.27
2243,2,3.61
1002,2,15.68
1002,1,4.43
2149,1,2.67
2149,2,5.14
1219,2,5.11
1219,1,6.6
2176,1,4.85
2176,2,3.96
2035,2,8.89
2035,1,7.74
2035,3,4.9
1200,3,10.67
1200,2,9.65
2113,1,7.28
2113,2,5.85
2113,3,2.4
1026,1,3.64
1026,2,5.52
1026,3,6.53
2074,3,3.32
2074,1,6.09
1164,1,8.62
1164,2,6.69
2251,2,3.44
2251,1,2.9
1254,3,4.26
1254,1,10.74
1254,2,5.26
2221,3,9.13
2221,1,6.29
2221,2,7.9
1007,1,8.21
2217,2,4.01
1182,2,10.42
1182,3,7.49
2022,2,6.56
2022,1,8.58
2022,3,11.47
1096,3,18.29
1096,1,22.22
1096,2,14.19
2306,1,8.97
2306,2,5.27
1126,2,8.68
1126,1,7.6
1126,3,11.61
2043,3,9.12
2043,1,7.79
2043,2,4.6
1207,3,8.1
1207,1,11.37
1207,2,5.12
2232,2,4.21
2232,1,5.65
1074,1,6.52
2004,1,7.8
2004,2,8.61
2004,3,4.46
1287,1,9.2
1287,3,14.77
1287,2,9.77
2299,1,4.42
2299,2,8.62
2189,1,3.67
2189,2,5.4
1021,1,5.5
1021,2,6.92
2117,1,8.28
2117,2,5.04
2117,3,7.16
1013,1,7.62
2208,1,7.33
2208,2,6.78
2208,3,4.91
1318,1,11.06
1318,2,11.45
2105,2,4.16
2105,1,5.33
1117,3,6.46
1117,1,10.15
1117,2,5.52
2065,1,2.13
2065,2,4.71
2065,3,4.14
1022,1,12.26
2177,1,8.89
2177,2,8.46
1320,3,5.14
1320,1,7.13
1320,2,6.3
2307,2,6.14
2307,3,5.54
2307,1,5.79
1108,1,9.35
1108,2,4.44
1108,3,14.66
2015,1,8.73
2015,2,7.94
2015,3,5.76
1194,2,7.08
1194,3,8.58
2242,3,5.44
2242,1,6.43
2242,2,4.56
1197,1,10.88
1197,2,9.87
1197,3,8.61
2301,2,7.81
2301,1,7.89
2301,3,6.6
1223,1,6.74
1223,2,14.12
2319,1,5.1
2319,2,5.55
1204,2,8.01
1204,1,5.83
2147,1,6.79
2147,2,9.32
1221,1,7.97
1221,2,8.04
2078,1,8.04
1139,2,7.22
1139,1,12.42
2085,1,7.55
1230,2,4.9
1230,1,9.21
2119,1,7.11
2119,2,6.67
1311,1,7.17
1311,2,6.51
2016,2,9.7
2016,1,9.07
1130,1,9.21
1130,2,8.91
2008,1,5.75
2008,2,2.73
1276,1,6.19
1276,2,5.71
1276,3,8.89
2005,2,9.12
2005,3,7.89
2005,1,8.1
1195,1,13.34
1195,2,11.02
2220,1,4.88
2220,2,5.41
1129,2,9.92
1129,1,6.21
2216,2,7.79
2216,3,8.44
2216,1,5.64
1049,2,9.84
1049,1,7.9
2179,1,6.77
2179,2,4.54
1190,1,9.94
1190,2,7.82
2073,2,5.76
2073,1,7.41
1303,3,15.18
1303,1,10.07
1303,2,10.26
2070,1,14.89
2070,2,7.82
2070,3,13.81
1100,2,11.35
1100,1,12.32
2245,1,5.3
2245,2,3.41
1180,1,9.03
1180,2,7.09
2173,2,4.44
2173,1,3.87
1157,3,9.26
1157,1,11.66
2180,1,6.22
2180,2,7.08
2180,3,7.64
1006,1,8.98
1006,2,9.14
2238,2,5.69
2238,1,4.8
1277,1,7.04
1277,2,9.82
1277,3,4.68
2102,2,12.49
2102,1,10.55
2102,3,5.27
1179,1,22.54
1179,2,9.68
2186,1,5.79
2186,2,5.07
1052,2,10.42
1052,3,7.8
2148,1,6.33
2148,2,7.54
1319,1,7.48
1319,2,3.86
1319,3,6.03
2071,1,4.26
1087,3,6.43
1087,1,6.6
1087,2,8
2052,1,5.53
2052,2,7.36
1078,2,16.12
2316,1,8.55
2316,2,8.49
1238,3,4.64
1238,1,8.79
1238,2,6.4
2061,2,6.82
2061,3,5.97
2061,1,7.86
1003,3,12.12
2303,1,5.25
2303,2,5.97
1262,2,8.02
1262,1,6.56
2253,1,9.26
2253,2,7.81
1044,1,10.25
1044,2,4.31
2164,2,9.58
2164,1,10.1
1267,1,4.8
2076,1,5.88
2076,2,6.46
2076,3,4.13
1127,2,5.44
1127,1,5.63
2153,1,6.63
2153,2,5.26
1231,1,9.39
1231,2,9.73
1231,3,3.21
2181,2,15.15
2181,1,8.27
2181,3,9.33
1309,2,13.43
1309,1,9.13
2122,2,5.67
2122,1,7.1
1012,1,8.53
1012,2,7.9
1012,3,7.15
2027,2,7.28
2027,1,12.23
2027,3,6.37
1282,1,10.5
1282,2,14.85
2029,1,5.26
2029,2,9.22
1248,2,8.48
1248,1,6.52
1248,3,5.78
2235,3,6.47
2235,1,8.58
2235,2,3.47
1114,3,18.92
2239,1,9.84
2239,2,12.46
2239,3,11.28
1171,2,13.15
1171,1,12.37
2197,1,12.73
2197,2,11.09
2197,3,10.88
1292,2,20.02
2182,2,13.44
2182,1,9.18
1060,2,17.12
1060,1,14.77
2059,2,11.18
2059,1,13.22
1161,3,11.44
1161,1,9.24
1161,2,8.87
2317,1,4
2317,2,4.93
1053,3,13.41
2203,2,6.73
2203,3,18.71
2203,1,14.79
1246,1,13.06
1246,2,21.46
1246,3,15.36
2178,1,12.6
2178,2,11.69
1047,2,9.91
2258,1,4.33
2258,2,5.82
1138,1,3.82
1138,2,4.55
2126,3,5.84
2126,2,6.23
1083,1,7.41
1083,2,6.75
2284,1,4.35
2284,2,3.79
1062,2,4.93
2038,2,8.28
2038,1,6.09
2038,3,6.22
1046,1,5.55
1046,2,5.96
2144,1,5.09
2144,2,4.63
1015,1,3.65
1015,2,5.15
2269,1,3.82
1296,1,3.88
1296,2,4.31
2211,1,2.68
2211,2,3.28
1256,3,11.8
1256,2,7.19
2145,3,8.12
2145,1,10.53
2145,2,10.86
1252,2,6.77
1252,1,6.8
1252,3,7.12
2318,3,4.79
2318,1,6.05
2318,2,4.68
1028,1,8.71
1028,2,11.89
2204,1,7.87
2204,2,9.89
1132,1,8.42
1132,2,8
2077,2,10.15
2077,1,9.79
2077,3,7.52
1055,1,9.47
1055,2,9.51
2288,1,3.89
1065,1,4.39
1065,2,6.17
2296,2,7.16
2296,1,7.8
1076,1,9.62
1076,2,4.33
2084,1,5.1
2084,2,4.67
1237,2,6.25
1237,1,16.83
2201,1,9.35
2201,2,5.82
1103,1,3.77
1103,2,3.32
2283,2,3.63
2283,1,4.58
1159,1,6.68
1159,2,5.97
2193,1,4.8
2193,2,5.29
1226,2,5.21
2007,1,5.32
2007,2,6.81
1185,1,5.34
1185,2,4
2262,2,3.91
2262,1,5.7
2262,3,3.49
1149,1,8.45
1149,2,6.7
2290,1,3.02
2290,2,3.54
1152,2,14.87
1152,1,10.57
2134,3,9.68
2134,1,11.99
2134,2,10.39
1217,1,9.26
1217,2,11.41
2099,3,10.8
2099,1,13.65
1038,1,12.34
1038,2,10.01
2013,1,6.7
2013,2,10.39
1286,2,10.25
1286,1,13.83
2309,2,7.93
2309,1,4.98
1284,2,14.15
1284,1,10.14
2225,1,9.34
2225,2,9.68
1082,2,17.83
1082,3,17.72
2190,1,10.83
2190,2,12.3
2172,1,10.6
2172,2,8.9
1039,1,21.97
2156,2,12.65
2156,1,14.22
1142,2,12.46
2101,2,17.86
2101,1,19.64
2101,3,19
1235,3,12.21
1235,1,10.25
1235,2,15.72
2289,1,8.25
1229,2,12.77
2044,1,13.12
2044,2,16.07
1111,3,12.06
1111,1,12.27
2292,1,4.82
1234,1,7.28
1234,2,8.57
2311,2,8.7
2311,1,10.79
1124,1,13.47
1124,2,16.92
2136,1,8.41
2136,2,17.54
1176,1,12.19
2175,1,6.88
2175,2,10.39
1131,1,2.6
1131,2,4.13
2163,1,3.2
1059,1,6.74
1059,2,6.71
2248,1,3.45
2248,2,3.22
1084,1,9.05
1084,2,8.72
2139,2,5.88
2139,1,4.85
1037,1,7.45
1037,2,14.3
2312,2,5.46
2312,1,4.33
1243,1,15.8
1243,2,13.26
2198,1,8.66
2198,2,7.68
1070,2,5.33
1070,1,12.32
2129,1,4.21
2129,2,6.69
1260,1,7.6
1260,2,4.04
2313,1,8.26
1137,2,11.37
1137,1,10.32
2237,1,6.62
2237,2,7.94
1017,1,12.93
1017,2,15.53
2021,2,9.69
2021,1,10.97
1172,2,4.19
1172,1,7.74
2069,2,5.95
2069,1,6.61
1315,1,8.23
1315,2,8.83
2261,1,7.17
2261,2,7.39
1116,1,11.7
1116,2,6.54
2054,2,8.17
2054,1,5.88
1196,1,6.15
1196,2,17.97
2165,1,6.97
2165,2,11.65
1001,2,10.1
1001,1,8.75
1001,3,9.35
2161,3,6.25
2161,1,4.91
2161,2,6.65
1043,1,10.12
1043,2,5.72
2057,2,12.09
2057,1,12.89
1156,1,14.34
1156,2,12.79
1128,1,17.78
1128,2,19.5
2310,1,10.21
2310,2,16.01
1050,1,12.47
1050,2,21.98
2107,1,11.18
2107,2,11.46
1008,1,7.91
1008,2,11.32
1008,3,8.46
2286,1,6.08
2286,2,3.57
1165,1,8.39
1165,2,8.7
2240,1,4.52
1122,2,8.01
2128,1,8.99
2128,2,9.68
1173,1,7.9
1173,2,6.55
1173,3,8.55
2265,1,3.9
2265,2,5.27
2265,3,3.84
1009,1,15.03
1009,2,11.94
2039,1,11.98
2039,2,9.9
1144,3,4.22
2270,1,5.45
2270,2,8.28
1045,1,6.96
1045,2,8.18
1045,3,7.9
2215,2,8.33
2215,3,7.33
1228,1,15.89
1228,2,9.61
2168,2,4.18
2168,3,12.18
1058,1,10.51
1058,2,16.39
2320,1,9.29
2320,2,8.99
1283,1,8.73
1283,2,7.85
1283,3,8.13
2082,1,3.78
2082,2,10.89
2082,3,7
1150,1,4.96
1150,2,10.88
2001,1,13.01
2001,2,16.3
1240,1,4.54
1240,2,5.79
1240,3,5.35
2135,1,6.29
2135,2,5.17
2135,3,4.78
1011,1,8.41
1011,2,10.65
2081,1,6.5
2081,2,10.11
2081,3,6.03
1153,1,12.21
1153,2,6.78
2150,1,6.75
2150,2,4.56
1121,1,12.63
1121,2,9.39
2003,1,8.42
2003,2,3.84
1005,1,8.99
1005,2,9.62
2114,1,10.64
2114,2,6.19
1275,1,8.33
1275,2,11.14
2155,1,15.72
2155,2,14.66
2155,3,17.78
1193,1,6.58
1193,2,8.4
1193,3,9.24
2011,1,12.93
2011,2,10.88
2011,3,10.15
1174,1,11.01
1174,2,16.11
1174,3,16.63
2297,1,8.67
2297,2,6.25
2297,3,11.51
1162,2,6.63
1162,3,8.57
2137,1,4.88
2137,2,4.07
1135,1,7.84
1135,2,8.89
2034,1,7.55
2034,2,6.89
1095,1,20.05
1095,2,12.87
2266,1,7.94
2266,2,6.53
2302,1,4.22
2302,2,5.07
1041,1,11.98
1041,2,8.33
2228,1,5.8
2228,2,9.57
1224,1,11.24
1224,2,15.23
1224,3,14.52
2202,1,12.82
2202,2,15.36
1274,1,5.67
1274,2,5.74
2171,1,10.75
2171,2,5.36
1115,2,8.81
2094,1,12.26
2094,2,9.61
1092,1,11.99
1092,2,8.74
2116,1,14.96
2116,3,11.37
1112,1,8.6
1112,2,7.68
2234,1,4.77
2234,2,5.26
1247,1,5.59
1247,2,6.08
1247,3,4.93
2123,1,5.7
2123,2,7.55
2123,3,4.14
1295,1,13.61
1295,2,13.54
1295,3,14.76
2194,1,6.78
2194,2,7.52
2194,3,14.39
1232,1,8.52
1232,2,10.07
2247,1,9.57
2247,2,7.53
1014,1,13.31
1014,2,10.95
1014,3,8.92
2100,1,14.8
2100,2,12.54
2100,3,13.73
1134,2,7.58
2130,1,5.45
2130,2,4.36
1316,1,4.77
1316,2,4.88
2199,1,3.49
2199,2,2.44
1034,1,4.94
1034,2,5.29
1034,3,8.17
2028,1,4.21
2028,2,4.22
2028,3,4.98
1148,2,9.33
2256,1,6.1
2256,2,4.42
1214,1,3.29
1214,2,3.6
2249,1,4.01
2249,2,2.66
1119,1,4.51
1119,2,6.46
2300,1,3.58
1265,1,6.48
1265,2,7.83
1265,3,5.78
2106,3,14.77
1160,1,12.43
1160,2,8.56
2053,1,6.77
2053,2,7.17
1310,1,6.2
1310,2,7.29
2041,1,4.03
2041,2,4.42
1020,1,6.76
1020,2,7.39
1020,3,10.9
2285,1,4.46
2285,2,4.48
2285,3,3.3
1288,1,12.68
1288,2,11.44
2282,2,8.45
1089,1,9.7
1089,2,7.24
1089,3,6.8
2230,1,5.91
2230,2,7.89
2230,3,6.34