Plot,Repeat,leaf_width
1001,1,7.7
1001,2,7.9
1001,3,8.1
1002,1,6.5
1002,2,8.2
1002,3,7
1003,1,7.2
1003,2,8.8
1003,3,10.9
1004,1,10
1004,2,10.7
1004,3,10.2
1005,1,8.1
1005,2,8.7
1005,3,8.8
1006,1,8.7
1006,2,8.6
1006,3,8.5
1007,1,8.4
1007,2,10.1
1007,3,8.6
1008,1,8.9
1008,2,9.5
1008,3,8.5
1009,1,7.4
1009,2,8.3
1009,3,6.4
1010,1,8
1010,2,9.1
1010,3,9.6
1011,1,8.6
1011,2,8.9
1011,3,9.5
1012,1,9
1012,2,8.4
1012,3,7.5
1013,1,9.4
1013,2,10.2
1013,3,10.2
1014,1,11.6
1014,2,11.2
1014,3,10.5
1015,1,8.8
1015,2,9.3
1015,3,8.3
1016,1,10.3
1016,2,10.4
1016,3,10.7
1017,1,7.4
1017,2,9.1
1017,3,8.9
1018,1,9.9
1018,2,10.4
1018,3,9.7
1019,1,8.2
1019,2,8.5
1019,3,8.9
1020,1,9.2
1020,2,8.5
1020,3,9.5
1021,1,10.5
1021,2,9.4
1021,3,9.5
1022,1,9.3
1022,2,9.7
1022,3,11
1023,1,8.9
1023,2,9.7
1023,3,8.6
1024,1,6.9
1024,2,7.6
1024,3,7.7
1025,1,6.7
1025,2,6.5
1025,3,6.6
1026,1,8.2
1026,2,9.2
1026,3,8.3
1027,1,6.9
1027,2,6.8
1027,3,8.1
1028,1,8.6
1028,2,7
1028,3,7.1
1029,1,8.4
1029,2,8.7
1029,3,8.4
1030,1,8
1030,2,9.6
1030,3,7.1
1031,1,8
1031,2,7.3
1031,3,8.1
1032,1,8.5
1032,2,7.8
1032,3,8.2
1033,1,9.7
1033,2,6.7
1033,3,8.5
1034,1,10.4
1034,2,9.7
1034,3,9.3
1035,1,10.1
1035,2,8.9
1035,3,11.7
1036,1,9
1036,2,8
1036,3,9.2
1037,1,8.4
1037,2,8.4
1037,3,8.1
1038,1,10.8
1038,2,11.7
1038,3,10.8
1039,1,8.7
1039,2,8.5
1039,3,8.5
1040,1,8.5
1040,2,9.5
1040,3,9.2
1041,1,9.5
1041,2,8.2
1041,3,8.9
1042,1,7
1042,2,6.2
1042,3,7
1043,1,8.2
1043,2,8.3
1043,3,9.5
1044,1,7.8
1044,2,6.5
1044,3,7.5
1045,1,8.2
1045,2,7.4
1045,3,8.7
1046,1,8
1046,2,7.7
1046,3,8.4
1047,1,8.2
1047,2,7.3
1047,3,9.2
1048,1,10.8
1048,2,9.8
1048,3,10.6
1049,1,10.5
1049,2,11
1049,3,9.7
1050,1,9.1
1050,2,9.2
1050,3,8.4
1051,1,7.7
1051,2,6.8
1051,3,7.3
1052,1,9.2
1052,2,9.5
1052,3,9.2
1053,1,9.1
1053,2,9.2
1053,3,9
1054,1,8.6
1054,2,8
1054,3,9
1055,1,11
1055,2,11
1055,3,11.5
1056,1,10.3
1056,2,8.8
1056,3,7.7
1057,1,7.7
1057,2,7.7
1057,3,6.8
1058,1,7.5
1058,2,8.3
1058,3,7.3
1059,1,7.9
1059,2,8.3
1059,3,11.2
1060,1,8.2
1060,2,9
1060,3,8.5
1061,1,8.5
1061,2,9.1
1061,3,9
1062,1,8.2
1062,2,9.5
1062,3,7.8
1063,1,8.4
1063,2,8.3
1063,3,7.7
1064,1,7
1064,2,6.8
1064,3,7.8
1065,1,8
1065,2,7.5
1065,3,10.5
1066,1,6.9
1066,2,6.2
1066,3,6.8
1067,1,8.9
1067,2,9.9
1067,3,10.2
1068,1,9
1068,2,9.3
1068,3,9.2
1069,1,9.3
1069,2,8.8
1069,3,8.4
1070,1,7.3
1070,2,7.7
1070,3,7.2
1071,1,8.2
1071,2,8.3
1071,3,7.9
1072,1,9.2
1072,2,9.2
1072,3,9
1073,1,8.9
1073,2,8.2
1073,3,7.8
1074,1,7.7
1074,2,6.8
1074,3,7.6
1075,1,9.1
1075,2,9.7
1075,3,8.4
1076,1,9.7
1076,2,8.5
1076,3,10
1077,1,8.9
1077,2,9.1
1077,3,8.3
1078,1,9.9
1078,2,9.8
1078,3,10.1
1079,1,9.3
1079,2,8.9
1079,3,9.4
1080,1,10.3
1080,2,9.6
1080,3,8.8
1081,1,9
1081,2,10.1
1081,3,9.7
1082,1,8.7
1082,2,9.6
1082,3,8.9
1083,1,11.4
1083,2,10
1083,3,10.4
1084,1,8.7
1084,2,9.3
1084,3,8.8
1085,1,8.3
1085,2,8.7
1085,3,8.2
1086,1,9.2
1086,2,10.2
1086,3,10
1087,1,11.6
1087,2,12.7
1087,3,11.9
1088,1,12.1
1088,2,11.5
1088,3,12.5
1089,1,9.3
1089,2,8.9
1089,3,8
1090,1,8.4
1090,2,5.3
1090,3,7.7
1091,1,7.4
1091,2,8.9
1091,3,8.5
1092,1,8.1
1092,2,8
1092,3,7.4
1093,1,9
1093,2,9.5
1093,3,10.2
1094,1,9.6
1094,2,8.8
1094,3,10.3
1095,1,9.1
1095,2,8.7
1095,3,8.8
1096,1,7.9
1096,2,7.8
1096,3,9
1097,1,9.8
1097,2,11
1097,3,10.2
1098,1,7.4
1098,2,6.6
1098,3,8.2
1099,1,9.3
1099,2,10
1099,3,9.2
1100,1,8.9
1100,2,12.2
1100,3,12.5
1101,1,9.3
1101,2,9.4
1101,3,8.9
1102,1,10.2
1102,2,11.8
1102,3,9.8
1103,1,8.1
1103,2,8
1103,3,7.8
1104,1,9
1104,2,9.3
1104,3,10.2
1105,1,9.7
1105,2,9.5
1105,3,9.6
1106,1,9.7
1106,2,10.5
1106,3,9.9
1107,1,10.9
1107,2,10
1107,3,10.8
1108,1,7.5
1108,2,8
1108,3,8
1109,1,10.4
1109,2,8.9
1109,3,9.3
1110,1,9.4
1110,2,9.8
1110,3,10.2
1111,1,9.3
1111,2,8.8
1111,3,9.4
1112,1,7.7
1112,2,8.6
1112,3,8.4
1113,1,6.5
1113,2,7.7
1113,3,6.7
1114,1,10
1114,2,9.4
1114,3,8.5
1115,1,10.3
1115,2,9.8
1115,3,9.2
1116,1,8.8
1116,2,8.8
1116,3,8.7
1117,1,7.8
1117,3,7.9
1118,1,6.3
1118,2,5.8
1118,3,6.9
1119,1,8.8
1119,2,8.5
1119,3,8.5
1120,1,8.4
1120,2,9
1120,3,9.1
1121,1,10.6
1121,2,9.6
1121,3,9.9
1122,1,10.6
1122,2,9.8
1122,3,11.5
1123,1,9.1
1123,2,8.4
1123,3,7.9
1124,1,8.3
1124,2,8.4
1124,3,8
1125,1,6.6
1125,2,6.9
1125,3,7.2
1126,1,7.8
1126,2,7.7
1126,3,6.5
1127,1,9.5
1127,2,9.2
1127,3,8.9
1128,1,9.8
1128,2,9.6
1128,3,9
1129,1,7.4
1129,2,9.9
1129,3,7.3
1130,1,10.3
1130,2,9
1130,3,7.7
1131,1,8.5
1131,2,7.6
1131,3,8.8
1132,1,10.7
1132,2,10.8
1132,3,9.6
1133,1,8.6
1133,2,9.8
1133,3,9.7
1134,1,10
1134,2,11.2
1134,3,11.6
1135,1,8.8
1135,2,8.2
1135,3,8.7
1136,1,9.5
1136,2,7.4
1136,3,9
1137,1,8.2
1137,2,8.1
1137,3,8.8
1138,1,9.3
1138,2,10.2
1138,3,10.1
1139,1,9.9
1139,2,9.1
1139,3,9.4
1140,1,9
1140,2,8.5
1140,3,9.5
1141,1,10.3
1141,2,10.5
1141,3,9
1142,1,10
1142,2,9.1
1142,3,8.1
1143,1,8.3
1143,2,8
1143,3,7.5
1144,1,11.1
1144,2,11.3
1144,3,12.6
1145,1,10
1145,2,10.1
1145,3,9.5
1146,1,11.2
1146,2,11.4
1146,3,10.3
1147,1,9.7
1147,2,11
1147,3,10.2
1148,1,9.5
1148,2,8.3
1148,3,8.5
1149,1,11.2
1149,2,9.5
1149,3,10.4
1150,1,8.5
1150,2,8.4
1150,3,8
1151,1,8
1151,2,10
1151,3,9.4
1152,1,7.1
1152,2,6
1152,3,6.8
1153,1,9.4
1153,2,8.5
1153,3,8.6
1154,1,9.8
1154,2,9.8
1154,3,10
1155,1,10.5
1155,2,11.7
1155,3,11.2
1156,1,8.7
1156,2,7.8
1156,3,9
1157,1,7
1157,2,9
1157,3,8.8
1158,1,8
1158,2,7
1158,3,7.2
1159,1,7.7
1159,2,7.8
1159,3,7.2
1160,1,8.3
1160,2,8.8
1160,3,8.8
1161,1,8.1
1161,2,8.8
1161,3,9.7
1162,1,11.2
1162,2,11.3
1162,3,10.6
1163,1,9
1163,2,10.6
1163,3,10.4
1164,1,9.2
1164,2,11.7
1164,3,9.7
1165,1,8.2
1165,2,9.4
1165,3,9
1166,1,10.4
1166,2,9.5
1166,3,11
1167,1,10.3
1167,2,9.8
1167,3,10.1
1168,1,8.7
1168,2,9.5
1168,3,9
1169,1,8.3
1169,2,9
1169,3,7.5
1170,1,8.1
1170,2,7.8
1170,3,9.1
1171,1,8.7
1171,2,8.6
1171,3,9.3
1172,1,6.7
1172,2,6.6
1172,3,7.1
1173,1,9.3
1173,2,8.4
1173,3,9.7
1174,1,8.2
1174,2,9.9
1174,3,9.8
1175,1,10.4
1175,2,11.3
1175,3,11.3
1176,1,9.2
1176,2,8.5
1176,3,8.9
1177,1,9.7
1177,2,8.5
1177,3,11.2
1178,1,9.4
1178,2,9.6
1178,3,9.7
1179,1,9.2
1179,2,9.2
1179,3,8.3
1180,1,8.6
1180,2,8.4
1180,3,8.9
1181,1,7.2
1181,2,6.5
1181,3,7.4
1182,1,9.3
1182,2,10.1
1182,3,9.3
1183,1,7.1
1183,2,6.5
1183,3,6
1184,1,8.8
1184,2,8.8
1184,3,9
1185,1,8.5
1185,2,9.9
1185,3,9.3
1186,1,8.5
1186,2,8.5
1186,3,8.3
1187,1,10
1187,2,8
1187,3,9.6
1188,1,7.4
1188,2,7.5
1188,3,7.6
1189,1,7
1189,2,8.1
1189,3,8.5
1190,1,8.3
1190,2,7
1190,3,8.9
1191,1,8.8
1191,2,8.7
1191,3,8.6
1192,1,10.2
1192,2,8.6
1192,3,9.8
1193,1,10.3
1193,2,10.1
1193,3,9.4
1194,1,10.6
1194,2,11.9
1194,3,9.4
1195,1,8.5
1195,2,8.1
1195,3,8.2
1197,1,8.6
1197,2,8
1197,3,8.5
1198,1,10.2
1198,2,10.5
1198,3,10.5
1199,1,10.8
1199,2,11.7
1199,3,11.1
1200,1,8.9
1200,2,9.3
1200,3,9
1201,1,8.1
1201,2,7
1201,3,8.5
1202,1,10.8
1202,2,9
1202,3,9.8
1203,1,7.5
1203,2,7.7
1203,3,8.5
1204,1,8.6
1204,2,8.6
1204,3,8.7
1205,1,9.8
1205,2,9.1
1205,3,9.5
1206,1,11.4
1206,2,9.1
1206,3,10.1
1207,1,8.8
1207,2,7.6
1207,3,8.4
1208,1,9.3
1208,2,10.1
1208,3,9.3
1209,1,11.1
1209,2,8.3
1209,3,10.5
1210,1,9.3
1210,2,8.8
1210,3,9
1211,1,9.8
1211,2,9.4
1211,3,10
1212,1,7.7
1212,2,8.1
1212,3,7.3
1213,1,7.9
1213,2,8.4
1213,3,7.4
1214,1,9.9
1214,2,9.9
1214,3,9.2
1215,1,9.2
1215,2,9
1215,3,9.1
1216,1,8.7
1216,2,7.8
1216,3,7.9
1217,1,7.2
1217,2,8.6
1217,3,10.2
1218,1,9
1218,2,8.6
1218,3,8.6
1219,1,9.4
1219,2,9.3
1219,3,8.6
1220,1,9.2
1220,2,9.1
1220,3,8.2
1222,1,10.3
1222,2,10.1
1222,3,10
1223,1,7.8
1223,2,8.4
1223,3,7.3
1224,1,7.4
1224,2,7.3
1224,3,8.2
1225,1,9.3
1225,2,10.2
1225,3,10.5
1226,1,8.9
1226,2,8.3
1226,3,8.7
1227,1,9.8
1227,2,9.3
1227,3,9.6
1228,1,7.2
1228,2,7
1228,3,6.7
1229,1,11.2
1229,2,11.4
1229,3,11
1230,1,9.2
1230,2,9.4
1230,3,9.7
1231,1,8.3
1231,2,8.7
1231,3,8.6
1232,1,9.7
1232,2,9
1232,3,9.7
1233,1,7.9
1233,2,8.6
1233,3,8.2
1234,1,9.4
1234,2,9.9
1234,3,10
1235,1,9
1235,2,9.2
1235,3,11
1236,1,9.2
1236,2,9.2
1236,3,8.7
1237,1,10.1
1237,2,9.7
1237,3,8.5
1238,1,9.7
1238,2,9.3
1238,3,8.4
1239,1,8.1
1239,2,8
1239,3,8
1240,1,8.7
1240,2,6.5
1240,3,7.5
1241,1,12
1241,2,11.2
1241,3,11
1242,1,8.9
1242,2,9.8
1242,3,9
1243,1,9.2
1243,2,8.2
1243,3,8.8
1244,1,9
1244,2,8.3
1244,3,9.5
1245,1,6.9
1245,2,6.7
1245,3,6.6
1246,1,7.4
1246,2,6.4
1246,3,6.8
1247,1,8.1
1247,2,7.3
1247,3,6.9
1248,1,8.6
1248,2,9
1248,3,8
1249,1,9.4
1249,2,9.9
1249,3,8.1
1250,1,6.2
1250,2,7.1
1250,3,6.6
1251,1,10.1
1251,2,8
1251,3,9.2
1252,1,9.2
1252,2,10.4
1252,3,9.5
1253,1,7.9
1253,2,8.4
1253,3,7.6
1254,1,8.7
1254,2,7.4
1254,3,8.1
1255,1,10.1
1255,2,9
1255,3,10.6
1256,1,9.5
1256,2,9.7
1256,3,10.4
1257,1,9.3
1257,2,8.5
1257,3,8.6
1258,1,6.5
1258,2,7.3
1258,3,6.8
1259,1,9.3
1259,2,9.3
1259,3,9.6
1260,1,8.6
1260,2,8.7
1260,3,9.2
1261,1,8.5
1261,2,8.5
1261,3,8.7
1262,1,8
1262,2,8.4
1262,3,8.5
1263,1,8.3
1263,2,9.5
1263,3,8.3
1264,1,10.1
1264,2,9
1264,3,6.4
1265,1,10.2
1265,2,10.7
1265,3,10.3
1266,1,9.8
1266,2,8.3
1266,3,8.9
1267,1,10.7
1267,2,10.7
1267,3,10.1
1268,1,7.6
1268,2,9
1268,3,9.6
1269,1,7.7
1269,2,8.5
1269,3,8.3
1270,1,9
1270,2,10.6
1270,3,11
1271,1,7
1271,2,8
1271,3,7.8
1272,1,8.6
1272,2,8.3
1272,3,7.8
1273,1,10.4
1273,2,8.8
1273,3,9.7
1274,1,8.4
1274,2,8.5
1274,3,9.1
1275,1,7.1
1275,2,7.1
1275,3,7.2
1276,1,10.2
1276,2,9.5
1276,3,10.7
1277,1,8.2
1277,2,8
1277,3,8.8
1278,1,7.6
1278,2,7.5
1278,3,7.5
1279,1,9.4
1279,2,9.8
1279,3,11.4
1280,1,8
1280,2,8.3
1280,3,7.6
1281,1,8
1281,2,7.5
1281,3,7.2
1282,1,10.9
1282,2,9.5
1282,3,8.2
1283,1,11.4
1283,2,10.1
1283,3,11.6
1284,1,9
1284,2,9
1284,3,8.6
1285,1,7.6
1285,2,8.1
1285,3,7.6
1286,1,10.2
1286,2,9.1
1286,3,9.5
1287,1,7.4
1287,2,7.1
1287,3,7.7
1288,1,8.4
1288,2,7.6
1288,3,7.2
1289,1,11.8
1289,2,11.2
1289,3,12.5
1290,1,9.4
1290,2,8.7
1290,3,8
1291,1,9.4
1291,2,10
1291,3,8.2
1292,1,9.5
1292,2,9
1292,3,9.5
1293,1,6.8
1293,2,7.4
1293,3,6.7
1294,2,8.4
1294,3,8.9
1295,1,8.2
1295,2,9.4
1295,3,9.4
1296,1,7.5
1296,2,9
1296,3,9
1297,1,10
1297,2,8.4
1297,3,9
1298,1,6
1298,2,7
1298,3,7.8
1299,1,8
1299,2,7.6
1299,3,7.2
1300,1,10.4
1300,2,11
1300,3,10
1301,1,11.4
1301,2,10.7
1301,3,10.6
1302,1,7.2
1302,2,7.1
1302,3,8
1304,1,8.4
1304,2,10.7
1304,3,10.2
1305,1,6.8
1305,2,8.1
1305,3,7
1306,1,6.6
1306,2,7.3
1306,3,7.5
1307,1,8.3
1307,2,8
1307,3,7.8
1308,1,7
1308,2,9.8
1308,3,9.6
1309,1,9.2
1309,2,8.9
1309,3,9.5
1310,1,8.6
1310,2,8.6
1310,3,8.5
1311,1,8.5
1311,2,8.2
1311,3,8.6
1312,1,10.8
1312,2,9.9
1312,3,9.9
1313,1,10
1313,2,10.5
1313,3,10.4
1314,1,10.1
1314,2,10.4
1314,3,10.7
1315,1,8.3
1315,2,9.4
1315,3,10.1
1316,1,8.8
1316,2,9.4
1316,3,7.7
1317,1,9.2
1317,2,7.7
1317,3,10.6
1318,1,10
1318,2,12.4
1318,3,11.9
